"","State","Date","Deaths","Confirmed","Recovered","Active","Population","Deaths.per.capita","Confirmed.per.capita","Active.per.capita","Name"
"44","Alabama",2020-07-13,1124,55545,0,54421,4903185,0.000229238749914596,0.0113283508576568,0.0110991121077422,"Alabama"
"45","Alabama",2020-03-13,0,5,0,5,4903185,0,1.01974532880159e-06,1.01974532880159e-06,"Alabama"
"46","Alabama",2020-06-30,950,38045,0,37095,4903185,0.000193751612472301,0.00775924220685126,0.00756549059437896,"Alabama"
"47","Alabama",2020-07-07,1033,45785,0,44752,4903185,0.000210679384930407,0.00933780797583612,0.00912712859090571,"Alabama"
"48","Alabama",2020-06-14,773,25615,0,24842,4903185,0.000157652627832725,0.00522415531945052,0.0050665026916178,"Alabama"
"49","Alabama",2020-03-16,0,29,0,29,4903185,0,5.91452290704919e-06,5.91452290704919e-06,"Alabama"
"50","Alabama",2020-06-28,919,35441,0,34522,4903185,0.000187429191433731,0.0072281588396114,0.00704072964817766,"Alabama"
"51","Alabama",2020-05-22,541,13670,0,13129,4903185,0.000110336444576332,0.00278798372894353,0.0026776472843672,"Alabama"
"52","Alabama",2020-07-05,1007,43953,0,42946,4903185,0.000205376709220639,0.00896417328736321,0.00875879657814257,"Alabama"
"53","Alabama",2020-06-05,676,19387,0,18711,4903185,0.000137869568453974,0.00395396053789527,0.00381609096944129,"Alabama"
"54","Alabama",2020-04-06,49,1952,0,1903,4903185,9.99350422225553e-06,0.000398108576364139,0.000388115072141883,"Alabama"
"55","Alabama",2020-06-12,769,23710,0,22941,4903185,0.000156836831569684,0.00483563234917712,0.00467879551760743,"Alabama"
"56","Alabama",2020-05-20,522,13052,0,12530,4903185,0.000106461412326885,0.00266194320630366,0.00255548179397677,"Alabama"
"57","Alabama",2020-07-03,1006,41865,0,40859,4903185,0.000205172760154879,0.00853832763805567,0.00833315487790079,"Alabama"
"58","Alabama",2020-06-03,653,18851,0,18198,4903185,0.000133178739941487,0.00384464383864774,0.00371146509870625,"Alabama"
"59","Alabama",2020-03-14,0,6,0,6,4903185,0,1.2236943945619e-06,1.2236943945619e-06,"Alabama"
"60","Alabama",2020-04-04,44,1614,0,1570,4903185,8.97375889345395e-06,0.000329173792137152,0.000320200033243698,"Alabama"
"61","Alabama",2020-04-18,153,4712,0,4559,4903185,3.12042070613285e-05,0.000961007997862614,0.000929803790801285,"Alabama"
"62","Alabama",2020-05-18,489,12086,0,11597,4903185,9.9731093156795e-05,0.00246492840877919,0.0023651973156224,"Alabama"
"63","Alabama",2020-04-25,209,6026,0,5817,4903185,4.26253547439063e-05,0.00122899707027167,0.00118637171552776,"Alabama"
"64","Alabama",2020-07-01,972,38962,0,37990,4903185,0.000198238491919028,0.00794626350015347,0.00774802500823444,"Alabama"
"65","Alabama",2020-04-02,32,1233,0,1201,4903185,6.52637010433014e-06,0.000251469198082471,0.000244942827978141,"Alabama"
"66","Alabama",2020-06-22,841,30454,0,29613,4903185,0.000171521164304427,0.00621106484866469,0.00603954368436027,"Alabama"
"67","Alabama",2020-05-16,485,11674,0,11189,4903185,9.89152968937538e-05,0.00238090139368594,0.00228198609679219,"Alabama"
"68","Alabama",2020-06-29,929,37175,0,36246,4903185,0.000189468682091335,0.00758180651963979,0.00739233783754845,"Alabama"
"69","Alabama",2020-04-23,202,5832,0,5630,4903185,4.1197711283584e-05,0.00118943095151417,0.00114823324023058,"Alabama"
"70","Alabama",2020-03-31,23,987,0,964,4903185,4.69082851248729e-06,0.000201297727905433,0.000196606899392946,"Alabama"
"71","Alabama",2020-06-06,689,20043,0,19354,4903185,0.000140520906308858,0.00408775112503403,0.00394723021872518,"Alabama"
"72","Alabama",2020-05-14,473,11101,0,10628,4903185,9.646790810463e-05,0.00226403857900528,0.00216757067090065,"Alabama"
"73","Alabama",2020-07-20,1291,68891,0,67600,4903185,0.000263298243896569,0.014050255089294,0.0137869568453974,"Alabama"
"74","Alabama",2020-04-21,183,5317,0,5134,4903185,3.7322679034138e-05,0.00108439718264761,0.00104707450361347,"Alabama"
"75","Alabama",2020-03-29,10,825,0,815,4903185,2.03949065760317e-06,0.000168257979252262,0.000166218488594658,"Alabama"
"76","Alabama",2020-06-04,653,19072,0,18419,4903185,0.000133178739941487,0.00388971658218077,0.00375653784223928,"Alabama"
"77","Alabama",2020-05-05,315,8437,0,8122,4903185,6.42439557144999e-05,0.00172071826781979,0.00165647431210529,"Alabama"
"78","Alabama",2020-05-12,435,10464,0,10029,4903185,8.87178436057379e-05,0.00213412302411596,0.00204540518051022,"Alabama"
"79","Alabama",2020-03-18,0,46,0,46,4903185,0,9.38165702497458e-06,9.38165702497458e-06,"Alabama"
"80","Alabama",2020-06-25,896,33206,0,32310,4903185,0.000182738362921244,0.00677233267763709,0.00658959431471584,"Alabama"
"81","Alabama",2020-03-25,1,381,0,380,4903185,2.03949065760317e-07,7.77045940546808e-05,7.75006449889205e-05,"Alabama"
"82","Alabama",2020-05-03,290,7888,0,7598,4903185,5.91452290704919e-05,0.00160875023071738,0.00154960500164689,"Alabama"
"83","Alabama",2020-05-10,393,9889,0,9496,4903185,8.01519828438046e-05,0.00201685231130377,0.00193670032845997,"Alabama"
"84","Alabama",2020-03-23,0,196,0,196,4903185,0,3.99740168890221e-05,3.99740168890221e-05,"Alabama"
"85","Alabama",2020-06-23,864,31097,0,30233,4903185,0.000176211992816914,0.00634220409794858,0.00616599210513166,"Alabama"
"86","Alabama",2020-05-24,551,14478,0,13927,4903185,0.000112375935233935,0.00295277457407787,0.00284039863884394,"Alabama"
"87","Alabama",2020-05-31,630,17952,0,17322,4903185,0.000128487911429,0.00366129362852921,0.00353280571710021,"Alabama"
"88","Alabama",2020-05-08,383,9385,0,9002,4903185,7.81124921862014e-05,0.00191406198216058,0.00183594948997437,"Alabama"
"89","Alabama",2020-07-14,1164,57255,0,56091,4903185,0.000237396712545009,0.011677103760107,0.0114397070475619,"Alabama"
"90","Alabama",2020-06-21,839,30021,0,29182,4903185,0.000171113266172906,0.00612275490319048,0.00595164163701757,"Alabama"
"91","Alabama",2020-04-15,118,4075,0,3957,4903185,2.40659897597174e-05,0.000831092442973292,0.000807026453213574,"Alabama"
"92","Alabama",2020-05-29,610,17031,0,16421,4903185,0.000124408930113793,0.00347345653896396,0.00334904760885017,"Alabama"
"93","Alabama",2020-04-29,256,6912,0,6656,4903185,5.22109608346412e-05,0.00140969594253531,0.00135748498170067,"Alabama"
"94","Alabama",2020-07-12,1121,53587,0,52466,4903185,0.000228626902717315,0.0109290185868981,0.0107003916841808,"Alabama"
"95","Alabama",2020-05-06,343,8691,0,8348,4903185,6.99545295557887e-05,0.00177252133052292,0.00170256680096713,"Alabama"
"96","Alabama",2020-06-19,822,29002,0,28180,4903185,0.000167646132054981,0.00591493080518071,0.00574728467312573,"Alabama"
"97","Alabama",2020-03-19,0,78,0,78,4903185,0,1.59080271293047e-05,1.59080271293047e-05,"Alabama"
